	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018
ab_anti															_ab_antibio R		_ab_antibio R	_ab_antibio R	_ab_antibio R	_ab_antibio R	_ab_antibio R	_ab_antibio R	_ab_antibio R	_ab_antibio R	or Newborn Y Yes	or Newborn Y Yes	or Newborn Y Yes	or Newborn Y Yes	or Newborn Y Yes
ab_aven1															_ab_vent R		_ab_vent R	_ab_vent R	_ab_vent R	_ab_vent R	_ab_vent R	_ab_vent R	_ab_vent R	_ab_vent R					
ab_aven6															_ab_vent6 R		_ab_vent6 R	_ab_vent6 R	_ab_vent6 R	_ab_vent6 R	_ab_vent6 R	_ab_vent6 R	_ab_vent6 R	_ab_vent6 R					
ab_binj															_ab_inj R		_ab_inj R	_ab_inj R	_ab_inj R	_ab_inj R	_ab_inj R	_ab_inj R	_ab_inj R	_ab_inj R					
ab_nicu															_ab_nicu R		_ab_nicu R	_ab_nicu R	_ab_nicu R	_ab_nicu R	_ab_nicu R	_ab_nicu R	_ab_nicu R	_ab_nicu R					
ab_seiz															_ab_seiz R		_ab_seiz R	_ab_seiz R	_ab_seiz R	_ab_seiz R	_ab_seiz R	_ab_seiz R	_ab_seiz R	_ab_seiz R					
ab_surf															actant RFP 631=f_ab_surfac R	actant R	actant RFP 631=f_ab_surfac R	actant RFP 631=f_ab_surfac R	actant RFP 631=f_ab_surfac R	actant RFP 631=f_ab_surfac R	actant RFP 631=f_ab_surfac R	actant RFP 631=f_ab_surfac R	actant RFP 631=f_ab_surfac R	actant RFP 631=f_ab_surfac R	actant Y Yes	actant Y Yes	actant Y Yes	actant Y Yes	actant Y Yes
abnml	Abnormal conditions of newborn	Abnormal conditions of newborn	Abnormal conditions of newborn	Abnormal conditions of newborn	Abnormal conditions of newborn	Abnormal conditions of newborn	Abnormal conditions of newborn	Abnormal conditions of newborn	Abnormal conditions of newborn	Abnormal conditions of newborn	Abnormal conditions of newborn	Abnormal conditions of newborn	Abnormal conditions of newborn																
abruptio	Abruptio placenta	Abruptio placenta	Abruptio placenta	Abruptio placenta	Abruptio placenta	Abruptio placenta	Abruptio placenta	Abruptio placenta	Abruptio placenta	Abruptio placenta	Abruptio placenta	Abruptio placenta	Abruptio placenta																
adactyly	Polydactyly/Syndactyly/Adactyly	Polydactyly/Syndactyly/Adactyly	Polydactyly/Syndactyly/Adactyly	Polydactyly/Syndactyly/Adactyly	Polydactyly/Syndactyly/Adactyly	Polydactyly/Syndactyly/Adactyly	Polydactyly/Syndactyly/Adactyly	Polydactyly/Syndactyly/Adactyly	Polydactyly/Syndactyly/Adactyly	Polydactyly/Syndactyly/Adactyly	Polydactyly/Syndactyly/Adactyly	Polydactyly/Syndactyly/Adactyly	Polydactyly/Syndactyly/Adactyly																
adequacy	Adequacy of Care Recode (Kessner Index)	Adequacy of Care Recode (Kessner Index)	Adequacy of Care Recode (Kessner Index)	Adequacy of Care Recode (Kessner Index)	Adequacy of Care Recode (Kessner Index)	Adequacy of Care Recode (Kessner Index)	Adequacy of Care Recode (Kessner Index)	Adequacy of Care Recode (Kessner Index)	Adequacy of Care Recode (Kessner Index)	Adequacy of Care Recode (Kessner Index)	Adequacy of Care Recode (Kessner Index)	Adequacy Of Care Recode (Kessner Index)	Adequacy Of Care Recode (Kessner Index)																
alcohol	Alcohol Use During Pregnancy	Alcohol Use During Pregnancy	Alcohol Use During Pregnancy	Alcohol Use During Pregnancy	Alcohol Use During Pregnancy	Alcohol Use During Pregnancy	Alcohol Use During Pregnancy	Alcohol Use During Pregnancy	Alcohol Use During Pregnancy	Alcohol Use During Pregnancy	Alcohol Use During Pregnancy	Alcohol Use During Pregnancy	Alcohol Use During Pregnancy	Alcohol Use U	Alcohol Use U	Alcohol Use U	Alcohol Use RFP 649=f_alcol U												
